cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7f585b570881,0,5,307,0,0,0,0,0,0,0,0,0
2,7f585b470cc7,0,306,5824,0,0,0,0,0,0,0,0,0
3,7f585b5708bb,7f585b5586b0,285,27,0,0,0,0,0,1,0,0,2
2,7f585b5708fe,0,0,294,0,0,0,0,0,0,0,0,0
3,7f585b570cbd,7f585baccf80,291,3,0,0,0,0,92,2,0,0,4
3,7f585b5588fc,7f585b5586b0,164,444,0,0,0,0,0,1,0,0,2
2,7f585b5708f3,7f585b570970,0,312,0,0,0,0,0,1,0,0,2
3,7f585b5700b0,7f585b56b4f0,16,2,0,0,0,0,0,1,0,0,2
2,7f585b570cb7,0,0,294,0,0,0,0,0,0,0,0,0
1,7f585b5700f6,0,0,18,0,0,0,0,0,18,0,0,36
3,7f585b5700eb,0,10,8,0,0,0,0,10,8,0,0,16
1,7f585b5708e9,7f585b570639,1,311,0,0,0,0,0,1,0,0,2
2,7f585b470ce8,7f585b470d28,0,43,0,0,0,0,0,1,0,0,2
3,7f585b570cac,7f585b5586b0,274,20,0,0,0,0,21,17,0,0,34
2,7f585b5708a3,0,5,307,0,0,0,0,0,0,0,0,0
2,7f585b470ce3,7f585b470cea,1591,4410,0,34,0,0,0,1,0,0,70
2,7f585b5588e2,7f585b55879f,87,8439,0,1,0,0,0,21,0,0,44
2,7f585b5704a2,0,0,18,0,0,0,0,0,0,0,0,0
1,7f585b5704a7,7f585b570360,0,18,0,0,0,0,0,1,0,0,2
2,7f585b470d5a,7f585b470d5c,0,172,0,5,0,0,0,1,0,0,12
2,7f585b550559,0,3,721,0,0,0,0,0,0,0,0,0
2,7f585b55055f,0,3,721,0,0,0,0,0,0,0,0,0
2,7f585b558d5f,0,0,18,0,0,0,0,0,0,0,0,0
3,7f585b55891e,7f585babdbe0,14,594,0,0,0,0,0,1,0,0,2
2,7f585b55055d,0,3,721,0,0,0,0,0,0,0,0,0
2,7f585b55895c,7f585b55872b,6001,10747,0,0,0,0,0,1,0,0,2
2,7f585b558953,0,3697,13051,0,0,0,0,0,2,0,0,4
3,7f585b570913,7f585b56b4f0,1,293,0,0,0,0,0,1,0,0,2
2,7f585b550911,7f585b550930,15,1093,0,0,0,0,0,1,0,0,2
2,7f585b550550,7f585b550640,3591,8947,2,5,0,0,0,1,0,0,12
3,7f585b570954,7f585baccf80,276,18,0,0,0,0,0,1,0,0,2
3,7f585b558d54,7f585b57afa0,0,18,0,0,0,0,0,1,0,0,2
3,7f585b57014a,7f585baba940,0,18,0,0,0,0,0,17,0,0,34
2,7f585b57094e,0,1,293,0,0,0,0,0,0,0,0,0
1,7f585b470d0c,7f585b470dad,1054,4904,0,0,0,0,0,1,0,0,2
2,7f585b558907,0,14,594,0,0,0,0,0,0,0,0,0
2,7f585b570d45,0,0,276,0,0,0,0,0,0,0,0,0
2,7f585b570d3b,0,0,276,0,0,0,0,0,0,0,0,0
2,7f585b470d3a,0,0,172,0,0,0,0,0,0,0,0,0
2,7f585b550539,7f585b5505a0,4921,7617,5,10,0,0,0,1,0,0,22
2,7f585b55897f,7f585b5589b0,612,7288,0,9,0,0,0,1,0,0,20
2,7f585b57013f,0,0,18,0,0,0,0,0,0,0,0,0
3,7f585b57093e,7f585b5586b0,1,293,0,0,0,0,0,3,0,0,6
3,7f585b570d7e,7f585bac05d0,198,78,0,0,0,0,0,1,0,0,2
2,7f585b55053e,7f585b5505f0,77,627,0,1,0,0,0,2,0,0,6
7,7f585b47113d,7f585b460104,429,14488,0,0,0,0,0,0,0,0,0
1,7f585b558d33,7f585b558aa8,4703,4633,0,0,0,0,0,1,0,0,2
2,7f585b570133,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b470d72,7f585b470d79,0,172,0,26,0,0,0,1,0,0,54
2,7f585b558d71,7f585b55de98,0,18,0,0,0,0,0,1,0,0,2
2,7f585b550d77,0,2,650,0,0,0,0,0,1,0,0,2
2,7f585b570977,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b470d77,7f585b470de8,0,110,0,0,0,0,0,1,0,0,2
2,7f585b570d35,0,0,276,0,0,0,0,0,0,0,0,0
1,7f585b55892a,7f585b558aa8,175,433,0,0,0,0,0,1,0,0,2
2,7f585b470d6a,7f585b470d60,0,258,0,37,0,0,0,1,0,0,76
2,7f585b550568,7f585b550640,434,290,0,0,0,0,0,1,0,0,2
2,7f585b57016f,7f585b570094,0,18,0,0,0,0,0,1,0,0,2
2,7f585b470d2e,0,0,172,0,0,0,0,0,0,0,0,0
2,7f585b570d6c,0,0,276,0,0,0,0,0,0,0,0,0
