Core, 0
MAP_STAGE_STALLED_total_count,      52288762
MAP_STAGE_STALLED_total_pct,       70.288

MAP_STAGE_NOT_STALLED_count,      22102391
MAP_STAGE_NOT_STALLED_pct,       29.711
MAP_STAGE_NOT_STALLED_total_count,      22102391
MAP_STAGE_NOT_STALLED_total_pct,       29.711

MAP_STAGE_OFF_PATH_count,           882
MAP_STAGE_OFF_PATH_pct,        0.001
MAP_STAGE_OFF_PATH_total_count,           882
MAP_STAGE_OFF_PATH_total_pct,        0.001
MAP_STAGE_OFF_PATH_sum_count,      74392035
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,      74392035
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         0.30
MAP_STAGE_OFF_PATH_stddev,         0.38
MAP_STAGE_OFF_PATH_total_mean,         0.30
MAP_STAGE_OFF_PATH_total_stddev,         0.38

EXEC_STAGE_STARVED_count,      42632444
EXEC_STAGE_STARVED_pct,       57.308
EXEC_STAGE_STARVED_total_count,      42632444
EXEC_STAGE_STARVED_total_pct,       57.308

EXEC_STAGE_NOT_STARVED_count,      31759384
EXEC_STAGE_NOT_STARVED_pct,       42.692
EXEC_STAGE_NOT_STARVED_total_count,      31759384
EXEC_STAGE_NOT_STARVED_total_pct,       42.692

EXEC_STAGE_OFF_PATH_count,           207
EXEC_STAGE_OFF_PATH_pct,        0.000
EXEC_STAGE_OFF_PATH_total_count,           207
EXEC_STAGE_OFF_PATH_total_pct,        0.000
EXEC_STAGE_OFF_PATH_sum_count,      74392035
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,      74392035
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
EXEC_STAGE_OFF_PATH_mean,         0.43
EXEC_STAGE_OFF_PATH_stddev,         0.37
EXEC_STAGE_OFF_PATH_total_mean,         0.43
EXEC_STAGE_OFF_PATH_total_stddev,         0.37

FU_BUSY_0_count,      38042665
FU_BUSY_0_total_count,      38042665

FU_BUSY_1_count,      26112021
FU_BUSY_1_total_count,      26112021

FU_BUSY_2_count,       5381506
FU_BUSY_2_total_count,       5381506

FU_BUSY_3_count,       1502575
FU_BUSY_3_total_count,       1502575

FU_BUSY_4_count,      21761766
FU_BUSY_4_total_count,      21761766

FU_BUSY_5_count,      13721452
FU_BUSY_5_total_count,      13721452

FU_BUSY_6_count,             0
FU_BUSY_6_total_count,             0

FU_BUSY_7_count,        724646
FU_BUSY_7_total_count,        724646

FU_BUSY_8_count,             0
FU_BUSY_8_total_count,             0

FU_BUSY_9_count,             0
FU_BUSY_9_total_count,             0

FU_BUSY_10_count,             0
FU_BUSY_10_total_count,             0

FU_BUSY_11_count,             0
FU_BUSY_11_total_count,             0

FU_BUSY_12_count,             0
FU_BUSY_12_total_count,             0

FU_BUSY_13_count,             0
FU_BUSY_13_total_count,             0

FU_BUSY_14_count,             0
FU_BUSY_14_total_count,             0

FU_BUSY_15_count,             0
FU_BUSY_15_total_count,             0

FU_BUSY_16_count,             0
FU_BUSY_16_total_count,             0

FU_BUSY_17_count,             0
FU_BUSY_17_total_count,             0

FU_BUSY_18_count,             0
FU_BUSY_18_total_count,             0

FU_BUSY_19_count,             0
FU_BUSY_19_total_count,             0

FU_BUSY_20_count,             0
FU_BUSY_20_total_count,             0

FU_BUSY_21_count,             0
FU_BUSY_21_total_count,             0

FU_BUSY_22_count,             0
FU_BUSY_22_total_count,             0

FU_BUSY_23_count,             0
FU_BUSY_23_total_count,             0

FU_BUSY_24_count,             0
FU_BUSY_24_total_count,             0

FU_BUSY_25_count,             0
FU_BUSY_25_total_count,             0

FU_BUSY_26_count,             0
