UOPQ_STAGE_OFF_PATH_total_pct,        0.000
UOPQ_STAGE_OFF_PATH_sum_count,     155250194
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,     155250194
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         0.17
UOPQ_STAGE_OFF_PATH_stddev,         0.34
UOPQ_STAGE_OFF_PATH_total_mean,         0.17
UOPQ_STAGE_OFF_PATH_total_stddev,         0.34

MAP_STAGE_STARVED_count,           479
MAP_STAGE_STARVED_pct,        0.000
MAP_STAGE_STARVED_total_count,           479
MAP_STAGE_STARVED_total_pct,        0.000

MAP_STAGE_NOT_STARVED_count,     155249048
MAP_STAGE_NOT_STARVED_pct,      100.000
MAP_STAGE_NOT_STARVED_total_count,     155249048
MAP_STAGE_NOT_STARVED_total_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_count,     155249527
MAP_STAGE_NOT_STARVED_sum_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_total_count,     155249527
MAP_STAGE_NOT_STARVED_sum_total_pct,      100.000
MAP_STAGE_NOT_STARVED_mean,         1.00
MAP_STAGE_NOT_STARVED_stddev,         1.00
MAP_STAGE_NOT_STARVED_total_mean,         1.00
MAP_STAGE_NOT_STARVED_total_stddev,         1.00

MAP_STAGE_STALLED_count,     129580508
MAP_STAGE_STALLED_pct,       83.466
MAP_STAGE_STALLED_total_count,     129580508
MAP_STAGE_STALLED_total_pct,       83.466

MAP_STAGE_NOT_STALLED_count,      25669019
MAP_STAGE_NOT_STALLED_pct,       16.534
MAP_STAGE_NOT_STALLED_total_count,      25669019
MAP_STAGE_NOT_STALLED_total_pct,       16.534

MAP_STAGE_OFF_PATH_count,           667
MAP_STAGE_OFF_PATH_pct,        0.000
MAP_STAGE_OFF_PATH_total_count,           667
MAP_STAGE_OFF_PATH_total_pct,        0.000
MAP_STAGE_OFF_PATH_sum_count,     155250194
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,     155250194
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         0.17
MAP_STAGE_OFF_PATH_stddev,         0.34
MAP_STAGE_OFF_PATH_total_mean,         0.17
MAP_STAGE_OFF_PATH_total_stddev,         0.34

EXEC_STAGE_STARVED_count,      12208127
EXEC_STAGE_STARVED_pct,        7.864
EXEC_STAGE_STARVED_total_count,      12208127
EXEC_STAGE_STARVED_total_pct,        7.864

EXEC_STAGE_NOT_STARVED_count,     143041756
EXEC_STAGE_NOT_STARVED_pct,       92.136
EXEC_STAGE_NOT_STARVED_total_count,     143041756
EXEC_STAGE_NOT_STARVED_total_pct,       92.136

EXEC_STAGE_OFF_PATH_count,           311
EXEC_STAGE_OFF_PATH_pct,        0.000
EXEC_STAGE_OFF_PATH_total_count,           311
EXEC_STAGE_OFF_PATH_total_pct,        0.000
EXEC_STAGE_OFF_PATH_sum_count,     155250194
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,     155250194
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
EXEC_STAGE_OFF_PATH_mean,         0.92
EXEC_STAGE_OFF_PATH_stddev,         0.08
EXEC_STAGE_OFF_PATH_total_mean,         0.92
EXEC_STAGE_OFF_PATH_total_stddev,         0.08

FU_BUSY_0_count,     150349968
FU_BUSY_0_total_count,     150349968

FU_BUSY_1_count,      46104306
FU_BUSY_1_total_count,      46104306

FU_BUSY_2_count,      16205093
FU_BUSY_2_total_count,      16205093

FU_BUSY_3_count,       8928710
FU_BUSY_3_total_count,       8928710

FU_BUSY_4_count,       9941089
FU_BUSY_4_total_count,       9941089

FU_BUSY_5_count,      11252189
FU_BUSY_5_total_count,      11252189

FU_BUSY_6_count,       3796218
FU_BUSY_6_total_count,       3796218

FU_BUSY_7_count,       4225174
FU_BUSY_7_total_count,       4225174

FU_BUSY_8_count,             0
FU_BUSY_8_total_count,             0

FU_BUSY_9_count,             0
FU_BUSY_9_total_count,             0

FU_BUSY_10_count,             0
FU_BUSY_10_total_count,             0

FU_BUSY_11_count,             0
FU_BUSY_11_total_count,             0

FU_BUSY_12_count,             0
FU_BUSY_12_total_count,             0

FU_BUSY_13_count,             0
FU_BUSY_13_total_count,             0

FU_BUSY_14_count,             0
FU_BUSY_14_total_count,             0

FU_BUSY_15_count,             0
FU_BUSY_15_total_count,             0

FU_BUSY_16_count,             0
FU_BUSY_16_total_count,             0

FU_BUSY_17_count,             0
FU_BUSY_17_total_count,             0

FU_BUSY_18_count,             0
