Core, 0
FU_REJECTED_OP_LDA_NOT_SIMD_total_pct,        0.001

FU_REJECTED_OP_IMEM_NOT_SIMD_count,          4695
FU_REJECTED_OP_IMEM_NOT_SIMD_pct,        0.222
FU_REJECTED_OP_IMEM_NOT_SIMD_total_count,          4695
FU_REJECTED_OP_IMEM_NOT_SIMD_total_pct,        0.222

FU_REJECTED_OP_IADD_NOT_SIMD_count,       1273695
FU_REJECTED_OP_IADD_NOT_SIMD_pct,       60.250
FU_REJECTED_OP_IADD_NOT_SIMD_total_count,       1273695
FU_REJECTED_OP_IADD_NOT_SIMD_total_pct,       60.250

FU_REJECTED_OP_IMUL_NOT_SIMD_count,           851
FU_REJECTED_OP_IMUL_NOT_SIMD_pct,        0.040
FU_REJECTED_OP_IMUL_NOT_SIMD_total_count,           851
FU_REJECTED_OP_IMUL_NOT_SIMD_total_pct,        0.040

FU_REJECTED_OP_IDIV_NOT_SIMD_count,             0
FU_REJECTED_OP_IDIV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_IDIV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_IDIV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_ICMP_NOT_SIMD_count,             0
FU_REJECTED_OP_ICMP_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_ICMP_NOT_SIMD_total_count,             0
FU_REJECTED_OP_ICMP_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_LOGIC_NOT_SIMD_count,          3287
FU_REJECTED_OP_LOGIC_NOT_SIMD_pct,        0.155
FU_REJECTED_OP_LOGIC_NOT_SIMD_total_count,          3287
FU_REJECTED_OP_LOGIC_NOT_SIMD_total_pct,        0.155

FU_REJECTED_OP_SHIFT_NOT_SIMD_count,           179
FU_REJECTED_OP_SHIFT_NOT_SIMD_pct,        0.008
FU_REJECTED_OP_SHIFT_NOT_SIMD_total_count,           179
FU_REJECTED_OP_SHIFT_NOT_SIMD_total_pct,        0.008

FU_REJECTED_OP_FMEM_NOT_SIMD_count,             4
FU_REJECTED_OP_FMEM_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FMEM_NOT_SIMD_total_count,             4
FU_REJECTED_OP_FMEM_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FCVT_NOT_SIMD_count,             0
FU_REJECTED_OP_FCVT_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_FCVT_NOT_SIMD_total_count,             0
FU_REJECTED_OP_FCVT_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_FADD_NOT_SIMD_count,             0
